STATION,Date,Year,Month,Cruise,TowDist,Stratum,Region,Depth,Count,NetWidth,StratNum
CM20060301060,30-Mar-06,2006,3,1,2005.8,501,5,1,0,22.22,12
CM20060301062,30-Mar-06,2006,3,1,859.9,501,5,1,0,21.81,12
CM20060301063,30-Mar-06,2006,3,1,2149.5,501,5,1,0,21.99,12
CM20060301064,30-Mar-06,2006,3,1,2153.8,501,5,1,0,28.09,12
CM20060301071,30-Mar-06,2006,3,1,2106.5,501,5,1,0,26.92,12
CM20060301070,30-Mar-06,2006,3,1,966.4,502,5,2,0,25.89,13
CM20060301072,30-Mar-06,2006,3,1,1851.6,502,5,2,0,24.49,13
CM20060301073,30-Mar-06,2006,3,1,1817.5,502,5,2,0,21.19,13
CM20060301076,30-Mar-06,2006,3,1,2171.1,502,5,2,1454,25.72,13
CM20060301078,30-Mar-06,2006,3,1,870.1,503,5,3,4,22.31,14
CM20060301079,30-Mar-06,2006,3,1,2149,503,5,3,73,23.4,14
CM20060301080,30-Mar-06,2006,3,1,1817,503,5,3,2,21.67,14
CM20060301065,31-Mar-06,2006,3,1,1982.3,501,5,1,0,27.18,12
CM20060301066,31-Mar-06,2006,3,1,1084.1,501,5,1,3,22.94,12
CM20060301067,31-Mar-06,2006,3,1,2059.8,501,5,1,0,27.71,12
CM20060301068,31-Mar-06,2006,3,1,1058,501,5,1,0,27.73,12
CM20060301069,31-Mar-06,2006,3,1,881.7,501,5,1,0,21.36,12
CM20060301074,31-Mar-06,2006,3,1,1993.9,502,5,2,13,27.25,13
CM20060301075,31-Mar-06,2006,3,1,2160.3,502,5,2,20,25.76,13
CM20060301077,31-Mar-06,2006,3,1,2088.3,502,5,2,0,28.04,13
CM20070301061,13-Mar-07,2007,3,1,1997.5,501,5,1,0,26.21,12
CM20070301063,13-Mar-07,2007,3,1,1964.7,501,5,1,0,23.83,12
CM20070301065,13-Mar-07,2007,3,1,1689.2,501,5,1,0,25.02,12
CM20070301066,13-Mar-07,2007,3,1,1413,501,5,1,0,26.38,12
CM20070301067,13-Mar-07,2007,3,1,1917.3,501,5,1,0,25.42,12
CM20070301068,13-Mar-07,2007,3,1,2064.1,501,5,1,0,27.01,12
CM20070301070,13-Mar-07,2007,3,1,2047.5,502,5,2,0,27.38,13
CM20070301071,13-Mar-07,2007,3,1,2040.2,502,5,2,0,26.76,13
CM20070301072,13-Mar-07,2007,3,1,718.8,502,5,2,0,25.99,13
CM20070301073,13-Mar-07,2007,3,1,945.5,502,5,2,0,25.53,13
CM20070301074,13-Mar-07,2007,3,1,1911.5,502,5,2,0,25.67,13
CM20070301075,13-Mar-07,2007,3,1,1900.3,502,5,2,0,23.77,13
CM20070301076,13-Mar-07,2007,3,1,1962.5,502,5,2,0,24.49,13
CM20070301077,13-Mar-07,2007,3,1,948.7,502,5,2,0,25.58,13
CM20070301036,14-Mar-07,2007,3,1,1958.9,401,4,1,0,23.04,9
CM20070301053,14-Mar-07,2007,3,1,1882.4,402,4,2,0,23.05,10
CM20070301054,14-Mar-07,2007,3,1,1984.8,402,4,2,0,21.35,10
CM20070301057,14-Mar-07,2007,3,1,1874.5,403,4,3,0,22.68,11
CM20070301060,14-Mar-07,2007,3,1,1583,501,5,1,0,22.15,12
CM20070301062,14-Mar-07,2007,3,1,1966.9,501,5,1,0,25.5,12
CM20070301064,14-Mar-07,2007,3,1,2077.4,501,5,1,0,26.66,12
CM20070301078,14-Mar-07,2007,3,1,1995.1,503,5,3,0,26.36,14
CM20070301079,14-Mar-07,2007,3,1,1708.1,503,5,3,1,22.72,14
CM20070301080,14-Mar-07,2007,3,1,1942.4,503,5,3,0,25.08,14
CM20070301040,15-Mar-07,2007,3,1,857.2,401,4,1,0,21.7,9
CM20070301041,15-Mar-07,2007,3,1,1259.6,401,4,1,0,21.25,9
CM20070301045,15-Mar-07,2007,3,1,1986.4,402,4,2,0,21.29,10
CM20070301046,15-Mar-07,2007,3,1,1650.9,402,4,2,0,20.84,10
CM20070301047,15-Mar-07,2007,3,1,1560.2,402,4,2,0,22.17,10
CM20070301048,15-Mar-07,2007,3,1,1582.4,402,4,2,0,21.54,10
CM20070301051,15-Mar-07,2007,3,1,1929.8,402,4,2,1,21.95,10
CM20070301052,15-Mar-07,2007,3,1,1562.9,402,4,2,0,21.58,10
CM20070301055,15-Mar-07,2007,3,1,1347.4,402,4,2,0,21.31,10
CM20070301056,15-Mar-07,2007,3,1,1940.7,402,4,2,0,20.78,10
CM20070301058,15-Mar-07,2007,3,1,1270.4,403,4,3,1,21.57,11
CM20070301059,15-Mar-07,2007,3,1,1940.5,403,4,3,0,21.83,11
CM20070301026,19-Mar-07,2007,3,1,991.6,301,3,1,0,27.11,6
CM20070301028,19-Mar-07,2007,3,1,1083.6,302,3,2,0,25.24,7
CM20070301030,19-Mar-07,2007,3,1,2205.3,302,3,2,0,24.96,7
CM20070301031,19-Mar-07,2007,3,1,1041.3,302,3,2,0,28.25,7
CM20070301049,19-Mar-07,2007,3,1,1686.3,402,4,2,0,23.56,10
CM20070301069,19-Mar-07,2007,3,1,1933.1,501,5,1,0,23.32,12
CM20070301009,20-Mar-07,2007,3,1,1685.8,201,2,1,0,27.47,3
CM20070301014,20-Mar-07,2007,3,1,1721.7,202,2,2,0,26.07,4
CM20070301018,20-Mar-07,2007,3,1,1685.3,202,2,2,0,27.59,4
CM20070301020,20-Mar-07,2007,3,1,1769.3,301,3,1,0,29.49,6
CM20070301025,20-Mar-07,2007,3,1,1520.4,301,3,1,0,31.93,6
CM20070301034,20-Mar-07,2007,3,1,1762,303,3,3,0,22.59,8
CM20070301035,20-Mar-07,2007,3,1,1746.2,303,3,3,0,28.11,8
CM20070301010,21-Mar-07,2007,3,1,829.3,201,2,1,0,26.02,3
CM20070301011,21-Mar-07,2007,3,1,863.3,201,2,1,0,25.04,3
