number,year,veg,bot,depth,temp,sal
0,2006,None,Sand,0.5,25.25,24.3
0,2006,None,Sand,0.5,26.1,24.8
0,2006,None,Sand,0.5,28.4,26.8
3,2006,Seagrass,Sand,0.8,23.1,27.5
0,2006,Seagrass,Sand,0.4,23.3,27.4
0,2006,None,Sand,1,24.1,26.5
0,2006,None,Sand,0.8,25,27
0,2006,None,Sand,0.4,23.7,27
0,2006,Seagrass,Sand,0.5,25.4,26.4
0,2006,None,Sand,0.3,25.8,27
0,2006,Seagrass,Sand,0.6,26.15,30.2
0,2006,None,Sand,1,27.2,30.9
0,2006,Seagrass,Sand,0.8,27.05,29.2
52,2006,Seagrass,Sand,1,27.85,31.05
0,2006,Seagrass,Sand,0.5,22.3,33
25,2006,Seagrass,Sand,0.7,25.9,32.5
0,2006,None,Sand,1.2,25.4,32.8
0,2006,None,Sand,1.2,30.7,29.55
0,2006,None,Sand,1,27.5,30.4
0,2006,None,Sand,0.9,27.3,30.9
1,2006,Seagrass,Sand,0.4,23.7,32.8
0,2006,None,Sand,0.6,23.2,33.4
116,2006,Seagrass,Sand,0.7,24.5,34.6
10,2006,None,Sand,0.8,25.9,35.45
15,2006,None,Sand,0.4,25.4,31.4
7,2006,Seagrass,Sand,0.6,25.6,34.95
124,2006,Seagrass,Sand,0.8,25.5,34.9
1,2006,None,Sand,0.4,25.8,35.6
120,2006,Seagrass,Sand,1,24.6,35.2
1,2006,Seagrass,Sand,0.5,25.4,35.5
0,2006,None,Sand,0.7,26.6,28
0,2006,None,Sand,1,26.4,28.1
1,2006,None,Sand,0.7,27.1,28.5
0,2006,None,Sand,0.8,27.2,29
0,2006,None,Sand,0.8,28.15,24.7
0,2006,Seagrass,Sand,0.7,25.75,26.6
0,2006,None,Mud,0.9,27.7,27.15
2,1992,Seagrass,Mud,0.5,18.7,28.6
0,1992,Seagrass,Mud,0.2,18.7,28.6
0,1992,None,Mud,0.1,19.8,28.6
100,1992,None,Mud,0.7,21.6,27.1
0,1992,None,Mud,0.4,21.8,26.1
0,1992,None,Sand,0.4,21.2,27.3
0,1992,None,Sand,1,22.1,27.3
0,1992,None,Sand,0.6,22.3,28
593,1992,Seagrass,Mud,0.5,22.8,33.1
1038,1992,Seagrass,Mud,0.9,22.8,33.2
357,1992,Seagrass,Sand,0.7,23.5,32.9
375,1992,Seagrass,Mud,0.7,24.3,32.9
3,1992,None,Mud,0.7,23.6,26.6
0,1992,None,Mud,0.5,24,28.6
1,1992,None,Mud,0.3,24,28.6
8,1992,None,Mud,0.5,25.6,28.6
0,1993,None,Sand,0.6,22.7,29.9
1,1993,None,Sand,0.4,22.7,29.9
1,1993,None,Sand,0.4,22.9,29.4
0,1993,None,Sand,0.4,22.9,29.4
0,1993,Seagrass,Sand,0.4,20.2,24
